language,certification_level,month_number,week_start,week_end,topic_key,topic_text,lesson_id,lesson_slug,course_id,source_week_title
en,professional,14,53,56,planetary indicators for different careers,Planetary indicators for different careers,,,,Career and Professional Success
en,professional,14,53,56,business vs service chart indicators,Business vs. service - chart indicators,,,,Career and Professional Success
en,professional,14,53,56,success in politics arts medicine technology etc,"Success in politics, arts, medicine, technology, etc.",,,,Career and Professional Success
en,professional,14,53,56,timing of career changes and promotions,Timing of career changes and promotions,,,,Career and Professional Success
en,professional,14,53,56,professional partnerships analysis,Professional partnerships analysis,,,,Career and Professional Success
en,professional,14,57,60,2nd house accumulated wealth and 11th house income,2nd house (accumulated wealth) and 11th house (income),,,,Wealth and Financial Astrology
en,professional,14,57,60,dhana yogas in detail 10 combinations,Dhana Yogas in detail - 10+ combinations,,,,Wealth and Financial Astrology
en,professional,14,57,60,lakshmi yoga and prosperity indicators,Lakshmi Yoga and prosperity indicators,,,,Wealth and Financial Astrology
en,professional,14,57,60,speculation and investment indicators,Speculation and investment indicators,,,,Wealth and Financial Astrology
en,professional,14,57,60,real estate and property indicators,Real estate and property indicators,,,,Wealth and Financial Astrology
en,professional,14,57,60,financial losses and debts chart markers,Financial losses and debts - chart markers,,,,Wealth and Financial Astrology
en,professional,14,57,60,timing of wealth gains and losses,Timing of wealth gains and losses,,,,Wealth and Financial Astrology
en,professional,16,61,64,6th house and health analysis,6th house and health analysis,,,,Medical Astrology Foundations
en,professional,16,61,64,planetary indicators for diseases,Planetary indicators for diseases,,,,Medical Astrology Foundations
en,professional,16,61,64,body parts ruled by signs and planets,Body parts ruled by signs and planets,,,,Medical Astrology Foundations
en,professional,16,61,64,acute vs chronic illness indicators,Acute vs. chronic illness indicators,,,,Medical Astrology Foundations
en,professional,16,61,64,accident and surgery indicators,Accident and surgery indicators,,,,Medical Astrology Foundations
en,professional,16,61,64,mental health astrology,Mental health astrology,,,,Medical Astrology Foundations
en,professional,16,61,64,timing of health issues using dashas,Timing of health issues using dashas,,,,Medical Astrology Foundations
en,professional,16,65,68,ayurdaya life span calculation methods,Ayurdaya (life span) calculation methods,,,,Longevity and Life Span
en,professional,16,65,68,maraka planets and houses,Maraka planets and houses,,,,Longevity and Life Span
en,professional,16,65,68,longevity indicators in birth chart,Longevity indicators in birth chart,,,,Longevity and Life Span
en,professional,16,65,68,critical periods in life dashas and transits,Critical periods in life (dashas and transits),,,,Longevity and Life Span
en,professional,16,65,68,health crises prediction,Health crises prediction,,,,Longevity and Life Span
en,professional,16,65,68,ethical considerations in longevity prediction,Ethical considerations in longevity prediction,,,,Longevity and Life Span
en,professional,16,69,72,5th house and children analysis,5th house and children analysis,,,,"Children, Education and Spiritual Growth"
en,professional,16,69,72,progeny yoga and timing of children,Progeny yoga and timing of children,,,,"Children, Education and Spiritual Growth"
en,professional,16,69,72,pregnancy and childbirth timing,Pregnancy and childbirth timing,,,,"Children, Education and Spiritual Growth"
en,professional,16,69,72,childrens chart analysis for parents,Children's chart analysis for parents,,,,"Children, Education and Spiritual Growth"
en,professional,16,69,72,education indicators 4th house d24,"Education indicators (4th house, D24)",,,,"Children, Education and Spiritual Growth"
en,professional,16,69,72,higher education and specialized learning,Higher education and specialized learning,,,,"Children, Education and Spiritual Growth"
en,professional,16,69,72,spiritual growth indicators 9th 12th houses d20,"Spiritual growth indicators (9th, 12th houses, D20)",,,,"Children, Education and Spiritual Growth"
en,professional,16,69,72,moksha indicators in the chart,Moksha indicators in the chart,,,,"Children, Education and Spiritual Growth"
